County Name ,State,Median Age ,PerCapita Income,Percent in Poverty,Population Density,Crime Index (Per capita)
Page,IA,38.2,17759,12.6,31.2,298
Plymouth,IA,34.1,17987,7.6,27.4,35
Pocahontas,IA,39.2,17646,10.6,16.1,112
Polk,IA,32.4,22331,10.3,593.5,535
Pottawattamie,IA,33.5,16734,12.5,87.5,21
Poweshiek,IA,34.5,17751,9.9,32.3,7
Ringgold,IA,42.2,14704,17.1,10,91
Sac,IA,38.3,16708,10.9,21.2,56
Scott,IA,32.4,19280,12.7,338.7,693
Shelby,IA,37.3,16945,10.2,22.3,1
Sioux,IA,30.9,15996,7.1,39.6,44
Story,IA,25.9,17373,10.4,129.9,350
Tama,IA,37.4,16363,10.5,24.1,175
Taylor,IA,40,13641,16,13.3,134
Union,IA,36.5,15634,14.2,29.7,148
Wapello,IA,37.1,16319,15.1,83.1,380
Warren,IA,32.8,17458,7.3,65.2,250
Wayne,IA,42.1,14433,16.7,13.3,172
Webster,IA,35.5,17467,13.3,56.1,3
Winnebago,IA,35.9,18149,9.6,29.7,134
Winneshiek,IA,31.7,16305,11.1,30.4,194
Woodbury,IA,32.9,18983,13,114.5,616
Worth,IA,38.3,15993,10.2,19.8,46
Wright,IA,39,17048,10.4,24.6,86
Ada,ID,31.9,21384,9.1,211.9,463
Adams,ID,36.2,15461,12.6,2.6,169
Bannock,ID,29.5,14920,12.4,61.6,548
Bear Lake,ID,30.9,12505,12.1,6.5,154
Benewah,ID,34.6,15726,13.9,10.4,247
Bingham,ID,27.6,14077,15.2,19,269
Blaine,ID,33.3,24384,6.6,5.6,530
Bonneville,ID,28.7,17733,10.6,41.3,493
Boundary,ID,32.8,13381,15.4,6.8,157
Butte,ID,33.3,13047,12.7,1.3,50
Canyon,ID,31.6,14121,17,163.6,537
Caribou,ID,30.3,15018,7.7,4,196
Cassia,ID,29.2,16686,15.6,7.9,529
Clearwater,ID,37.5,15466,12.2,3.5,107
Elmore,ID,27.7,16949,11.2,6.7,327
Franklin,ID,27.5,11497,11.8,14.3,158
Fremont,ID,28.1,13539,13.6,6.1,189
Gem,ID,36,15081,15.7,22.4,190
Gooding,ID,34.7,16416,15.2,16.6,169
Idaho,ID,36.5,14681,14,1.7,149
Jerome,ID,32.6,15610,15.1,26.3,365
Kootenai,ID,35,17642,11.5,62.1,565
Latah,ID,27.4,15753,12.6,29.1,252
Lemhi,ID,38.1,14244,15.5,1.6,37
Madison,ID,20,10132,14.9,50.9,326
Minidoka,ID,30.4,12786,15.1,26.6,403
Nez Perce,ID,35.6,18111,11.1,41.3,423
Oneida,ID,31.4,12546,11.2,2.9,134
Owyhee,ID,30.4,12601,10.5,1.1,61
Payette,ID,34.1,13692,17.8,42.9,310
Power,ID,29.8,17631,13.8,5.3,379
Shoshone,ID,37.3,14843,20.7,5.2,426
Twin Falls,ID,33.3,15812,13.3,29.1,483
Valley,ID,37,18218,11.8,1.9,555
Washington,ID,37.3,13659,18.8,6,244
Adams,IL,35.4,17574,14.2,77.7,378
Alexander,IL,34.8,12673,30.1,44.8,645
Bond,IL,35,16036,12,39.7,242
Boone,IL,33.1,18120,7.6,116.2,256
Bureau,IL,36.3,17890,9.4,41.1,104
Calhoun,IL,38.5,15590,16.1,20.5,96
Carroll,IL,37.5,17889,11,37.4,160
Cass,IL,35.8,17913,11.9,35.4,98
Champaign,IL,27.8,17183,13.3,175.6,560
Christian,IL,36.3,17799,11.1,48.7,121
Clark,IL,37,15810,11.5,31.9,94
Clay,IL,36.8,16308,13.7,30.7,83
Clinton,IL,32.8,18055,8.7,72.3,146
Coles,IL,29.8,16366,13.1,102.1,208
Cook,IL,32.6,23121,17.6,5430.5,783
Crawford,IL,37.1,17695,10.5,44.2,165
Cumberland,IL,33.9,15694,11.7,31.2,110
DeKalb,IL,27.1,17077,8.7,125.8,145
De Witt,IL,35.4,17464,9.9,42,238
Douglas,IL,34.5,16038,9.4,46.8,112
DuPage,IL,32.3,29399,3.8,2434.2,322
Edgar,IL,37.3,16044,14.2,31.3,75
Edwards,IL,37.3,15186,10.6,33.3,45
Effingham,IL,32,17171,9.3,67.1,300
Fayette,IL,35.3,13932,14.6,29,189
Ford,IL,36.9,19333,9.2,28.8,123
Franklin,IL,37.8,14764,18,97.3,47
Fulton,IL,36.9,15706,14.6,44,259
Gallatin,IL,39.2,16542,18.1,21,81
Greene,IL,36,14005,14.6,28.2,190
Grundy,IL,33.3,20467,5.7,80.5,57
Hamilton,IL,39.1,15874,15.4,19.5,81
Hancock,IL,37.3,16043,12.3,27.1,191
Hardin,IL,37.3,13939,19.9,29.2,77
Henry,IL,36,16385,10.5,62.3,74
Iroquois,IL,37,17173,9.7,27.9,69
Jackson,IL,26.5,13786,21.3,103.9,696
Jasper,IL,34.4,16837,11,21.4,134
Jefferson,IL,34.9,16110,16.2,65,449
Jersey,IL,33.2,15500,11.8,56.9,264
Jo Daviess,IL,36.2,19094,8,36.3,135
Johnson,IL,35.9,11394,15.7,33.5,3
Kane,IL,30.9,21482,8.4,640.7,447
Kankakee,IL,32.9,17006,13.3,146.1,569
Kendall,IL,32,19966,3.8,128.8,164
Knox,IL,36.5,16824,13.3,78.6,400
Lake,IL,31.6,30590,6.5,1205.2,365
La Salle,IL,35.5,17526,10.1,95.2,198
Lawrence,IL,38,19233,14.7,42.7,166
Lee,IL,34.2,16000,9.1,48,155
Livingston,IL,34.3,17256,9.8,38.2,202
Logan,IL,34.6,16788,11,49.8,275
McDonough,IL,27.3,14177,15.2,59.4,231
McHenry,IL,32.2,22347,3.8,330.6,236
McLean,IL,28.8,19768,8.8,112.9,267
Macon,IL,35,19172,13.7,203.1,558
Macoupin,IL,36,17154,12.3,55.5,146
Madison,IL,33.9,18788,12,348.6,418
Marion,IL,35.1,16832,15.8,72.9,327
Marshall,IL,37.8,17374,9.4,33.4,68
Mason,IL,36.5,15976,12.8,30.8,60
Massac,IL,37.7,14635,15.4,62.3,273
Menard,IL,35.4,18855,8.5,36.3,57
Mercer,IL,36,16409,10.8,30.8,68
Monroe,IL,33.9,18565,5.2,60.5,179
Montgomery,IL,35.3,16214,13.4,43.8,147
Morgan,IL,34.3,16911,11.5,63.8,599
Moultrie,IL,36.7,15918,9,42,92
Ogle,IL,34,16868,7.6,62.6,129
Peoria,IL,33.8,19772,14.9,296.5,741
Perry,IL,35.5,14858,14.5,48.3,179
Piatt,IL,36.2,20296,6.9,35.7,222
Pike,IL,37.9,14642,16.6,21.1,62
Pope,IL,35.8,12346,17.2,11.9,93
Pulaski,IL,34.8,13671,25.5,37.4,19
Randolph,IL,34,15168,12.2,59.6,138
Richland,IL,35.6,16388,13,46.4,104
Rock Islands,IL,34.8,20022,13,351.7,497
St. Clair,IL,32,17138,18.3,395.7,439
Saline,IL,38.2,16413,18.7,69.1,85
Sangamon,IL,34.2,20800,10.7,209.1,628
Schuyler,IL,37.4,15398,12.7,17.1,89
Scott,IL,35.9,14484,10.4,22.3,64
Shelby,IL,36.3,15945,9.7,29.5,29
Stark,IL,37.6,17449,10.4,22.2,117
Stephenson,IL,35,18730,10.1,85.9,393
Tazewell,IL,34.8,18711,9.6,193.3,304
Union,IL,38,14662,18.2,43,158
Vermilion,IL,35.4,16348,15.4,97.5,494
Wabash,IL,34.9,17078,12.3,58.2,123
Warren,IL,35.1,16407,13,35.4,232
Washington,IL,35.9,17739,8.8,26.3,158
Wayne,IL,37.4,15556,12.2,23.8,49
White,IL,38.5,17313,15.1,32.7,115
Whiteside,IL,34.7,17246,10,88.3,316
Will,IL,31.1,19651,7.6,447.7,326
Williamson,IL,36.1,16083,14.8,138.4,265
Winnebago,IL,33.4,19442,11.7,504.7,811
Woodford,IL,34.1,18093,6.9,63.3,80
Adams,IN,30.6,15770,12.6,92.8,154
Allen,IN,32.1,20748,11.2,463.6,607
Bartholomew,IN,34.2,19936,9,160.5,340
Benton,IN,34.7,16609,8.8,23.9,95
Blackford,IN,35.7,15328,12.9,84.8,220
Boone,IN,34.4,22613,6.6,93.4,55
Brown,IN,36.5,16039,9.9,46.7,9
Carroll,IN,35,16697,7.7,51.8,115
Cass,IN,35,16880,12.3,93.5,202
Clark,IN,33.8,17380,11.6,238.3,453
Clay,IN,35.2,15438,10.7,70.5,116
Clinton,IN,34.1,16363,10.5,78.5,280
Crawford,IN,34,12393,16.2,32.7,103
Daviess,IN,33.6,15051,14.7,64.8,76
Dearborn,IN,33.1,16428,8.7,135,78
Decatur,IN,32.6,16492,9.5,65.2,73
De Kalb,IN,31.9,17153,7.2,100.9,116
Delaware,IN,31.4,17507,16.4,304.1,85
Dubois,IN,32.1,19630,5.1,87.2,93
Elkhart,IN,31.8,18577,9.8,343.5,442
Fayette,IN,35.1,16431,13.1,121.9,324
Floyd,IN,34,18682,11,454.1,339
Fountain,IN,35.9,15386,10.8,45.2,30
Franklin,IN,32.7,14700,11.1,51.6,40
Fulton,IN,35.3,15736,9.9,51.8,9
Gibson,IN,35.1,16998,9.2,65,48
Grant,IN,34.9,16610,15.2,179.2,401
Greene,IN,35.9,15264,13,57.9,17
Hamilton,IN,32.9,28005,4.1,304.3,115
Hancock,IN,34.2,19890,5.7,154.8,168
Harrison,IN,33.2,15799,10.8,63.3,115
Hendricks,IN,33.3,20074,4.7,194.9,86
Henry,IN,36.1,16809,13.1,123.7,249
Howard,IN,34.1,19321,12,280.5,363
Huntington,IN,32.8,17700,8,93.6,235
Jackson,IN,33.6,15798,10.7,75.8,38
Jasper,IN,32,15338,8.9,46.4,21
Jay,IN,35,13866,13.4,56.8,145
Jefferson,IN,33.7,15024,12.8,83.8,64
Jennings,IN,33.1,15553,12.9,64.4,224
Johnson,IN,32.6,19838,7.9,292.3,157
Knox,IN,33.5,16303,15.1,77.5,347
Kosciusko,IN,32.2,19191,7.8,122.6,117
Lagrange,IN,28.1,13605,10.5,79.6,87
Lake,IN,33,17881,15.9,966,678
Lawrence,IN,35.3,16126,11.4,96.7,203
Madison,IN,34.8,16776,13.7,290.8,350
Marion,IN,31.8,21430,15,2048.2,755
Marshall,IN,33.3,16482,8.6,97.2,25
Martin,IN,34.1,15323,11.6,30.9,126
Miami,IN,31.5,14891,12.8,98.5,26
Monroe,IN,26.4,16281,14,280.7,368
Montgomery,IN,34,18139,9.3,69.4,328
Morgan,IN,32.9,17075,9.1,143.9,154
Newton,IN,33.6,15336,9.8,34.6,171
Noble,IN,31.9,16246,8.5,94.1,90
Ohio,IN,34.1,14690,10.1,61.1,10
Orange,IN,34.7,13795,14,46.5,43
Owen,IN,34.7,13984,13.2,47.5,18
Parke,IN,36.3,15530,12.2,35.3,40
Perry,IN,33.5,14114,10.9,49.6,157
Pike,IN,36.3,16453,13,36.9,44
Porter,IN,32.7,19914,6.6,321.1,284
Posey,IN,33.4,18146,8.1,63.9,43
Pulaski,IN,33.8,15754,12.1,29.7,117
Putnam,IN,32.1,15232,9.3,65.4,56
Randolph,IN,35.6,15401,15.1,59.8,73
Ripley,IN,33.1,17345,10,56.9,69
Rush,IN,33.6,15736,11,44.8,17
Scott,IN,32.7,14465,15.7,112.9,116
Shelby,IN,33.1,17905,9.3,99.8,18
Spencer,IN,33.7,15467,9.3,49.4,31
Starke,IN,33.3,12701,16.2,72.7,15
Steuben,IN,33.4,17312,8.4,91.7,400
Sullivan,IN,36.7,16074,12.9,42.5,25
Switzerland,IN,35.2,12984,15.4,36.2,59
Tippecanoe,IN,26.8,17264,11.7,264.5,454
Union,IN,33.7,14299,10.9,43.9,44
Vanderburgh,IN,34.5,19955,14,710.6,442
Vermillion,IN,36.5,16281,11.3,64.6,32
Vigo,IN,33,16530,15.1,265.8,446
Wabash,IN,33.7,16315,9.7,84.2,162
Warren,IN,36,15471,9.6,22.5,38
Warrick,IN,33.3,18622,7.1,121.3,44
Washington,IN,33.3,14151,13.8,47.4,25
Wayne,IN,34.9,16470,16.4,178.6,336
Wells,IN,33.1,17873,7.1,70.5,144
White,IN,35.1,16710,8.7,47.1,168
Whitley,IN,33.3,17230,6.3,84.6,13
Allen,KS,35.5,14537,16.7,29.2,314
Anderson,KS,38.1,16008,13.8,13.6,212
Atchison,KS,33.5,15701,15,38.9,359
Barber,KS,37.5,16931,8.7,5,123
Barton,KS,34.8,17305,14.1,32.8,458
Bourbon,KS,36.8,16208,19.2,23.2,267
Brown,KS,36.7,16238,18.8,19.4,225
Butler,KS,33.8,18390,8.9,37.3,338
Chase,KS,39.7,17758,15,3.7,97
Chautauqua,KS,43.3,14358,20.4,6.9,139
Cherokee,KS,35.8,14428,20.2,36.8,180
Cheyenne,KS,41.8,18206,10.8,3.1,3
Clark,KS,41.1,21018,8.4,2.5,138
Clay,KS,39.2,16850,12.6,14.4,137
Cloud,KS,39.9,16216,12.8,15,231
Coffey,KS,36.2,17205,10.2,13.6,137
Comanche,KS,41.6,22336,10.4,2.8,5
Cowley,KS,34.7,16094,13.9,32.7,420
Crawford,KS,34.4,16251,19.6,60.4,608
Decatur,KS,40.2,19598,12.4,4.3,108
Dickinson,KS,37.3,15691,11.8,22.7,161
Doniphan,KS,35.1,17038,16.7,20.7,137
Douglas,KS,25.8,15665,13.6,184.5,603
Edwards,KS,39.4,22411,12.1,5.8,67
Elk,KS,47,15542,18.3,4.9,353
Ellis,KS,31.1,17516,12.2,28.8,390
Ellsworth,KS,38,15496,11.3,9.1,203
Finney,KS,27.2,17945,13.6,26.3,873
Ford,KS,30.2,16328,15.7,25.3,738
Franklin,KS,33.3,15214,12.9,39,272
Geary,KS,26.5,13792,16.6,85.6,639
Gove,KS,38.2,24258,8,3,228
Graham,KS,39.1,18494,14.5,3.8,68
Gray,KS,32.2,18337,8.4,6.2,30
Greeley,KS,33.2,27789,10.2,2.2,18
Greenwood,KS,41.2,16042,15.6,6.9,87
Hamilton,KS,38.1,30525,11.7,2.3,65
Harper,KS,39.6,18271,13.7,8.5,153
Harvey,KS,34.7,18398,10,57.7,234
Haskell,KS,30.5,23679,9.6,6.8,75
Jackson,KS,34.9,16841,13.3,17.5,214
Jefferson,KS,35.2,17080,9.9,30.2,308
Jewell,KS,42.7,17814,12.8,4.5,27
Johnson,KS,32.8,27877,4.7,784.6,415
Kearny,KS,30.8,23220,11,4.6,475
Kingman,KS,36.9,17210,12.1,9.6,181
Kiowa,KS,38.5,18442,10.9,5,303
Labette,KS,35,15292,16.7,36.2,398
Lane,KS,37.9,21614,9.1,3.2,109
Leavenworth,KS,33.1,15313,10.4,144.2,361
Lincoln,KS,42.4,19156,11.9,4.9,117
Linn,KS,39.3,14703,15.8,14,207
Logan,KS,38.1,16315,10.3,3,257
Lyon,KS,29.1,16122,14.2,40.5,650
McPherson,KS,34.7,17823,8.7,30.7,182
Marion,KS,39.4,15467,10.3,13.6,121
Marshall,KS,38.4,19017,12.5,12.6,174
Miami,KS,34.3,16605,10.1,41.6,268
Mitchell,KS,37.7,18040,10.4,10.3,186
Montgomery,KS,36.5,15735,17.2,58.9,545
Morris,KS,38.9,14734,14.2,9,230
Nemaha,KS,35.6,18665,10.6,14.5,136
Neosho,KS,36.3,16597,16,29.7,292
Norton,KS,39,17954,12,6.6,64
Osage,KS,36,15406,11.2,22.2,198
Osborne,KS,42.7,18437,12.5,5.3,15
Ottawa,KS,38.5,15795,10.5,7.6,89
Pawnee,KS,37.4,20094,10.2,10.2,20
Phillips,KS,40.4,18576,10.3,7.2,17
Pottawatomie,KS,32.8,15668,10.1,20,262
Pratt,KS,36.8,18692,10.7,13.1,412
Rawlins,KS,38.8,17313,10.5,3.1,127
Reno,KS,35,17517,14,49.6,545
Republic,KS,44.5,18219,11.5,8.8,122
Rice,KS,37,16978,14.6,14.2,162
Riley,KS,23.8,15096,14,110.4,469
Rooks,KS,37.9,16275,12.2,6.8,183
Rush,KS,43.1,15867,12.3,5.3,48
Russell,KS,40.9,19341,12.3,8.7,218
Saline,KS,33.5,20179,11.6,70.3,773
Scott,KS,35,26275,8.7,7.4,221
Sedgwick,KS,31.8,20822,13.1,415.7,773
Seward,KS,29,17917,17.9,29.2,945
Shawnee,KS,33.8,19772,12.1,297,829
Sheridan,KS,37.1,21331,11.3,3.3,84
Sherman,KS,35.5,17820,14.6,6.4,384
Smith,KS,45.1,17238,12,5.5,47
Stafford,KS,39,18515,13.4,6.4,196
Stanton,KS,31.4,24591,11.2,3.4,109
Stevens,KS,32.7,22721,10,7.1,221
Sumner,KS,34.9,17398,10.9,22.2,246
Thomas,KS,32.3,16544,12,7.7,370
Trego,KS,39.1,17973,10,3.9,89
Wabaunsee,KS,36.4,16836,9.8,8,153
Washington,KS,42.1,18214,12.4,7.6,103
Wichita,KS,33.6,22441,10.7,3.9,68
Wilson,KS,39.1,15238,16,17.6,195
Woodson,KS,41.4,17036,14.8,8,158
Wyandotte,KS,31.7,14869,20.8,1046.9,1148
Adair,KY,34.9,13072,24.2,38.6,152
Allen,KY,35.4,12133,20.1,43.1,72
Anderson,KY,33.6,15846,9.5,77,186
Ballard,KY,37.8,17155,17.2,31.4,132
Barren,KY,35.6,15387,18.7,70.3,125
Bath,KY,35,12480,28.9,35.4,110
Boone,KY,31.4,18452,8.3,255.8,441
Bourbon,KY,34.1,16385,18,66.2,258
Boyd,KY,36.5,18486,17.9,319,291
Boyle,KY,34.9,15746,16.4,142.6,280
Bracken,KY,34.8,13085,19.3,39.4,40
Breathitt,KY,31.6,12268,40.3,30.5,183
Breckinridge,KY,35.4,12830,24,28.8,53
Butler,KY,34.4,11461,22.5,26.6,111
Caldwell,KY,38,14008,18.6,37.8,227
Calloway,KY,32.7,15958,16.6,81.3,207
Campbell,KY,32.4,16895,12.9,560,370
Carroll,KY,33.8,15407,22.1,73,303
Carter,KY,33,12021,28.3,60.9,147
Christian,KY,27.7,12968,20,95,331
Clark,KY,34.2,16223,16.9,118.4,297
Clay,KY,30.3,10841,40.3,47.1,168
Clinton,KY,35.5,11051,35.2,46.6,54
Crittenden,KY,36.7,12651,18.5,25.7,134
Cumberland,KY,37.3,11607,30.5,21.9,57
Daviess,KY,33.2,16627,16.5,191.8,366
Estill,KY,33.4,11042,29.5,59.8,101
Fayette,KY,31.3,20860,15.8,816.2,705
Fleming,KY,34.7,13336,24,35.9,71
Floyd,KY,32.1,12910,32.4,111.3,156
Franklin,KY,34.5,18398,12,213.3,412
Fulton,KY,36.9,15944,29.2,38.8,254
Garrard,KY,35.8,13952,18,52.8,137
Grant,KY,32.2,14066,15.9,65,191
Graves,KY,37,15361,16.4,61.4,221
Grayson,KY,34.8,12319,22.8,43.1,183
Green,KY,37.5,12853,20.7,36,88
Greenup,KY,35.6,15094,18.2,107.2,136
Hancock,KY,32.6,17913,14.6,41.3,42
Hardin,KY,27.8,15453,14.3,134.2,233
Harrison,KY,34.7,15319,16.8,53.6,101
Hart,KY,34.9,12272,27.1,37.3,119
Henderson,KY,33.5,16872,15.4,99.5,633
Hickman,KY,38.9,15082,18.4,22.9,68
Hopkins,KY,34.7,16739,19.3,84.3,401
Jefferson,KY,34.1,21530,16.7,1739.3,530
Jessamine,KY,30.7,15137,15.1,185.9,304
Kenton,KY,31.8,18737,13.2,880.7,479
Knott,KY,30.7,10984,35.5,51.7,114
Knox,KY,31.9,10615,37.9,78.4,344
Larue,KY,36.1,15810,18.7,45.6,135
Laurel,KY,32.5,13414,25.3,104,189
Lawrence,KY,33.1,11135,32.8,35.1,90
Lee,KY,33.5,9962,39.3,37.6,82
Leslie,KY,30.4,11762,34.1,33.9,128
Lewis,KY,33.1,10640,29,27,76
Lincoln,KY,33.7,12309,25.2,60.9,84
Livingston,KY,36.9,15527,16.3,29.1,224
Logan,KY,34.8,14083,16.8,45,194
Lyon,KY,38.4,12001,15.8,33.4,165
McCracken,KY,36.2,18917,16.8,254.1,723
McLean,KY,36,13992,17.8,38.1,115
Madison,KY,28.8,14458,20.6,135,402
Magoffin,KY,29.6,10485,39.1,43.3,133
Marion,KY,32.3,14010,22.2,47.9,267
Marshall,KY,38.2,16397,13.9,91.8,178
Mason,KY,35,15235,19.6,71.3,312
Meade,KY,28.1,13531,15,78.1,40
Mercer,KY,35.9,15773,15.9,77.7,142
Metcalfe,KY,35.5,12565,25.3,30.9,119
Monroe,KY,35.9,13633,24.3,34.8,40
Montgomery,KY,34.1,13980,21.7,99.2,183
Morgan,KY,32.9,9790,37.4,34.6,109
Muhlenberg,KY,34.8,13210,22.5,65.5,148
Nelson,KY,31.6,15412,14.9,73.6,211
Nicholas,KY,35.9,14073,22.1,34.6,88
Ohio,KY,35,12626,24.1,35.7,171
Oldham,KY,33,23537,7,192.4,186
Owen,KY,35,13220,21.9,26.7,139
Owsley,KY,34.3,9373,46.4,26.2,88
Pendleton,KY,31.6,13144,17,45.4,86
Perry,KY,31.7,13374,32.5,90.3,256
Pike,KY,32.4,13981,26,92.8,186
Powell,KY,31.3,10825,28.3,66.1,95
Pulaski,KY,35.2,13846,23,77.7,256
Rockcastle,KY,33,11378,29.7,47.2,133
Rowan,KY,26,11122,27.3,74.8,364
Russell,KY,36.1,13019,24.1,60.4,141
Scott,KY,31.8,18427,15.1,88.4,456
Shelby,KY,34.9,18796,12.8,67.2,309
Simpson,KY,33.8,14709,14.9,66,283
Taylor,KY,34.5,14366,17.9,80.8,165
Trigg,KY,39.7,14030,16.2,24.6,240
Trimble,KY,34.6,13754,17.4,42.3,124
Union,KY,30.1,17126,16.5,47.2,299
Warren,KY,31.2,17018,17.4,146.4,511
Washington,KY,33.7,15158,18.5,34.9,188
Wayne,KY,34,10765,34.3,39,98
Webster,KY,35.3,16923,17.2,40.9,48
Whitley,KY,32.4,12104,30.6,77.5,135
Woodford,KY,33.7,21950,9.7,109.1,223
Acadia,LA,30.5,12368,27.6,85.8,299
Allen,LA,32.5,10023,30.5,29.6,41
Ascension,LA,29.4,16447,18.1,208.5,229
Avoyelles,LA,32.7,11306,34.1,47.1,143
Beauregard,LA,31.6,14285,18.3,26.8,326
Bossier,LA,30.6,15964,16.5,102.9,546
Caddo,LA,32.7,17745,25.3,279.6,942
Calcasieu,LA,31.6,16001,19.1,159.5,417
Caldwell,LA,33.5,12554,24.3,18.5,273
Claiborne,LA,34.7,12185,29.4,22.9,203
Concordia,LA,32.3,12442,29.3,29.9,49
Evangeline,LA,31.1,12022,31.1,50.7,128
Franklin,LA,32.4,12172,33.2,35.8,144
Grant,LA,31.9,11854,23.5,27.3,231
Iberia,LA,29.8,14270,23.9,121,325
Iberville,LA,30.5,14452,27.6,50.3,150
Jackson,LA,34.5,13206,20.9,27.4,109
Jefferson,LA,32.3,18191,16.9,1490.4,919
Lafayette,LA,29.8,17467,18.4,633.6,614
Lafourche,LA,29.4,13275,21.2,79.6,160
Lincoln,LA,24.7,14569,24.4,89.7,193
Livingston,LA,30.2,14227,15.3,113.7,100
Morehouse,LA,32,13772,31.5,40.2,89
Natchitoches,LA,29.2,12282,31,29.1,180
Orleans,LA,31.6,18825,37.9,2709.3,1031
Ouachita,LA,30.2,14959,25.1,237.5,770
Rapides,LA,31.4,14985,24.1,98.7,625
Tangipahoa,LA,30.1,12978,29.8,111.2,123
Tensas,LA,32.5,13173,40.1,11.3,8
Terrebonne,LA,29.3,13267,22.5,79.2,498
Union,LA,34.4,13727,21.6,23.9,142
Vermilion,LA,31.5,12324,22.5,42.8,115
Vernon,LA,24.7,12052,19.3,48.1,240
Washington,LA,33.3,12619,31,63.9,419
Webster,LA,34.7,14174,22.7,69.8,51
Winn,LA,33.5,12562,26.6,17.1,5
Barnstable,MA,39.5,22930,9.8,480.8,385
Berkshire,MA,35.9,21510,11.7,147.2,253
Bristol,MA,33.8,18341,11.6,911.3,421
Dukes,MA,37.1,23437,7.4,114.6,428
Essex,MA,34.5,23112,12.4,1347.5,478
Franklin,MA,34.9,18150,11.2,100.8,238
Hampden,MA,33.4,19333,14.6,730.8,532
Hampshire,MA,30.3,18201,8.6,276.9,169
Middlesex,MA,33.6,27681,8.5,1695.1,279
Nantucket,MA,35.5,32431,4.9,129.7,819
Norfolk,MA,35.1,28152,6.3,1557.8,263
Plymouth,MA,33.1,20535,9.7,666.1,336
Suffolk,MA,30.8,26160,19.4,10923.1,942
Worcester,MA,33.1,20024,11.3,468.6,304
Allegany,MD,37.5,15919,16.5,175.6,363
Baltimore,MD,35.2,24897,7.7,1177.1,677
Calvert,MD,32.6,20448,6,265.3,223
Caroline,MD,34.3,14748,11.6,87.1,249
Carroll,MD,33.3,21770,4.6,289.8,276
Cecil,MD,32.6,17900,9,214.2,376
Charles,MD,30.2,20058,7.2,229.5,483
Dorchester,MD,37,16724,17,54.2,476
Frederick,MD,32.3,20334,5.7,241.2,333
Garrett,MD,33.7,14215,15.8,44.7,220
Harford,MD,32.1,19760,6,442.6,313
Howard,MD,32.2,27601,3.8,792.6,441
Kent,MD,36.6,20385,10.4,65.9,292
Montgomery,MD,33.9,33365,6,1578.6,433
Somerset,MD,33.8,13297,22.3,71.5,416
Talbot,MD,39.6,26944,9.4,116.3,373
Washington,MD,34.4,16639,10.6,273.7,260
Wicomico,MD,33.2,17621,13.3,203.3,665
Worcester,MD,37.5,21361,12.4,78.6,752
Androscoggin,ME,32.8,17530,14.5,221.1,382
Aroostook,ME,33.3,14690,18.3,13.1,210
Cumberland,ME,33.7,22174,11,293.1,547
Franklin,ME,32.9,15109,15.4,17.3,381
Hancock,ME,35.8,18632,12.9,30.2,252
